,inds,EAR_vals,ts
148,148,0.16409911169946748,2.9730815588589796
178,178,0.14263981399580214,3.575733226195259
179,179,0.09631028821996633,3.5958216151064684
180,180,0.06621489920550648,3.6159100040176777
181,181,0.05205974579204898,3.635998392928887
182,182,0.04569483977845072,3.6560867818400964
183,183,0.046283608032717916,3.6761751707513057
184,184,0.046283608032717916,3.696263559662515
185,185,0.11927245975349038,3.7163519485737244
186,186,0.14117413970193735,3.7364403374849338
187,187,0.15804907758758596,3.756528726396143
188,188,0.15680232090015195,3.7766171153073524
189,189,0.16742593199178826,3.796705504218562
368,368,0.16442723871351794,7.39252711932503
369,369,0.10232683184328463,7.4126155082362395
370,370,0.10232072771108736,7.432703897147449
371,371,0.15116614928915528,7.452792286058658
586,586,0.09,11.771795901968662
587,587,0.06516379881734649,11.791884290879871
588,588,0.0691390398125286,11.811972679791081
589,589,0.07126297820682242,11.83206106870229
590,590,0.07468562533769765,11.8521494576135
591,591,0.10807692307692307,11.872237846524708
592,592,0.17489978185858462,11.892326235435918
844,844,0.1288315011366088,16.954600241060668
845,845,0.11995205752330736,16.974688629971876
846,846,0.14922321728952334,16.994777018883084
847,847,0.16442723871351794,17.014865407794293
880,880,0.1157575205168128,17.6777822418642
881,881,0.10227888936659198,17.697870630775412
882,882,0.09803697101301256,17.71795901968662
883,883,0.13807084455066515,17.73804740859783
1013,1013,0.12989612463383265,20.349537967055042
1014,1014,0.16326108942436268,20.36962635596625
1094,1094,0.08412570809895614,21.976697468862998
1095,1095,0.10925266980931136,21.996785857774206
1096,1096,0.13,22.016874246685415
1097,1097,0.16681052525035706,22.036962635596623
1156,1156,0.10576923076923077,23.222177581357975
1157,1157,0.1216227766016838,23.242265970269184
1158,1158,0.14006357366396865,23.262354359180392
1159,1159,0.15804907758758596,23.2824427480916
1160,1160,0.16993607669774313,23.302531137002813
1263,1263,0.14117413970193735,25.371635194857372
1323,1323,0.1028746462856272,26.57693852952993
1324,1324,0.06586187861294032,26.59702691844114
1325,1325,0.0918368576081228,26.61711530735235
1326,1326,0.10065641745332346,26.63720369626356
1327,1327,0.1361319693567708,26.657292085174767
1495,1495,0.09462128703531404,30.032141422257933
1496,1496,0.09764201453489826,30.052229811169145
1497,1497,0.08996004793608947,30.072318200080353
1498,1498,0.1231470749190022,30.09240658899156
1499,1499,0.14583333333333334,30.11249497790277
1713,1713,0.16319716612210586,34.411410204901564
1714,1714,0.11694497750161904,34.431498593812776
1715,1715,0.13157353745950112,34.45158698272399
1716,1716,0.14,34.47167537163519
1819,1819,0.15993607669774315,36.54077942948975
1820,1820,0.12152559498280845,36.560867818400965
1821,1821,0.14000000634417215,36.58095620731217
1822,1822,0.17472235796778432,36.60104459622338
1975,1975,0.1331963140611849,39.67456809963841
1976,1976,0.12,39.69465648854962
1977,1977,0.1609723579677843,39.714744877460824
2498,2498,0.1669897158393165,50.18079550020088
2499,2499,0.1281207242340073,50.20088388911209
2500,2500,0.08542268900205863,50.220972278023304
2501,2501,0.10925266980931136,50.24106066693451
2502,2502,0.1630785556162233,50.26114905584572
2566,2566,0.13541666666666669,51.54680594616312
2567,2567,0.08996803834887157,51.56689433507432
2568,2568,0.08232871812386948,51.586982723985535
2569,2569,0.09008431506322226,51.60707111289675
2570,2570,0.1232455532033676,51.62715950180795
2571,2571,0.16447840468500508,51.647247890719164
2697,2697,0.16239720554533188,54.178384893531536
2698,2698,0.1540196025354726,54.19847328244275
3407,3407,0.1464561068200575,68.44114102049015
3408,3408,0.08069946120944647,68.46122940940137
3409,3409,0.07647085374760043,68.48131779831257
3410,3410,0.10366486120561656,68.50140618722378
3411,3411,0.1611661492891553,68.521494576135
3666,3666,0.16300631170725266,73.64403374849337
3667,3667,0.11161334958430924,73.66412213740458
3677,3677,0.09203818089022668,73.86500602651667
3678,3678,0.07689466056274286,73.88509441542789
3679,3679,0.08143107526445975,73.90518280433909
3680,3680,0.07689466056274286,73.9252711932503
3681,3681,0.10991210545939684,73.94535958216152
3704,3704,0.12152559498280845,74.40739252711933
3705,3705,0.1046795212055004,74.42748091603053
3706,3706,0.07846153846153847,74.44756930494174
3707,3707,0.07686624420240877,74.46765769385296
3708,3708,0.09767043089523234,74.48774608276416
3709,3709,0.1100529874673056,74.50783447167537
3710,3710,0.14854585352476074,74.52792286058659
3807,3807,0.14,76.47649658497389
3808,3808,0.13361995677020938,76.49658497388509
3828,3828,0.09996803834887158,76.89835275210928
3829,3829,0.10426784936796107,76.9184411410205
3830,3830,0.1118688192592512,76.9385295299317
3831,3831,0.14968928939341525,76.9586179188429
3849,3849,0.15090253083390331,77.32020891924468
3850,3850,0.1316227766016838,77.34029730815588
3851,3851,0.14880413112243912,77.36038569706709
4032,4032,0.08992808628496105,80.99638408999598
4033,4033,0.07232683184328463,81.01647247890719
4034,4034,0.09422949903424913,81.0365608678184
4035,4035,0.08293827970728247,81.05664925672961
4036,4036,0.0961256352255128,81.07673764564082
4037,4037,0.12481779399737865,81.09682603455202
4038,4038,0.1740337500418096,81.11691442346324
4249,4249,0.17454376988514506,85.3555644837284
4536,4536,0.14409080636860405,91.12093210124547
4537,4537,0.15000000000000002,91.14102049015669
4538,4538,0.12769230769230772,91.1611088790679
4707,4707,0.14669649888473704,94.55604660506228
4782,4782,0.15617775609102935,96.06267577340297
4783,4783,0.13994406711052526,96.08276416231418
5208,5208,0.16908465597452388,104.62032944957814
5387,5387,0.1429166666666667,108.21615106468461
5388,5388,0.12245205752330734,108.23623945359581
5389,5389,0.1316227766016838,108.25632784250703
5508,5508,0.14,110.64684612294094
5509,5509,0.11208333333333334,110.66693451185215
5510,5510,0.1232455532033676,110.68702290076335
5511,5511,0.1453638739853618,110.70711128967457
5596,5596,0.1429166666666667,112.41462434712736
5597,5597,0.1276558364144604,112.43471273603856
5700,5700,0.17109423557411632,114.50381679389312
5701,5701,0.13876124006952026,114.52390518280434
5702,5702,0.1357574684109004,114.54399357171555
6015,6015,0.11227089895380987,120.83165930092406
6016,6016,0.09996004793608948,120.85174768983528
6017,6017,0.11995205752330736,120.87183607874648
6093,6093,0.16967330856785104,122.3985536359984
6094,6094,0.11916094995700124,122.4186420249096
6095,6095,0.08651004517812746,122.4387304138208
6096,6096,0.06728638003744175,122.45881880273201
6097,6097,0.09033203476896767,122.47890719164323
6098,6098,0.10991210545939684,122.49899558055444
6329,6329,0.11486067977499788,127.13941341904379
6330,6330,0.08329721137884799,127.159501807955
6331,6331,0.12078242989319495,127.17959019686622
6332,6332,0.1225,127.19967858577742
6636,6636,0.16637881318707332,133.30654881478506
6637,6637,0.1231470749190022,133.32663720369627
6638,6638,0.09104103283793884,133.34672559260747
6639,6639,0.09040208240150338,133.36681398151867
6640,6640,0.1016227766016838,133.38690237042988
6641,6641,0.1630785556162233,133.40699075934108
6663,6663,0.15724006723942086,133.8489353153877
6664,6664,0.14116614928915527,133.8690237042989
6665,6665,0.1357484893699772,133.88911209321012
6666,6666,0.0930921026355728,133.90920048212132
6667,6667,0.11685857558550045,133.92928887103255
6668,6668,0.05882218260780753,133.94937725994376
6669,6669,0.059870539349559576,133.96946564885496
6670,6670,0.11764436521561505,133.98955403776617
6671,6671,0.1429602250544571,134.00964242667737
6672,6672,0.13449020412616775,134.02973081558858
6673,6673,0.13157353745950112,134.04981920449978
6674,6674,0.15388902463445098,134.06990759341102
6675,6675,0.1592801338437626,134.08999598232222
6676,6676,0.15705931448952345,134.11008437123343
6677,6677,0.15435228124297729,134.13017276014463
7275,7275,0.15234028899109264,146.1430293290478
7276,7276,0.122445817068272,146.163117717959
7277,7277,0.1215735374595011,146.18320610687022
7278,7278,0.13529927031458933,146.20329449578142
7569,7569,0.164233447392147,152.04901566894335
7570,7570,0.12,152.06910405785456
7571,7571,0.12876923048230232,152.08919244676576
7572,7572,0.08650294108804396,152.10928083567697
7573,7573,0.0853869547897605,152.12936922458817
7574,7574,0.1096504605364242,152.1494576134994
7575,7575,0.16110222598689844,152.1695460024106
7823,7823,0.15848836142218367,157.1514664523905
7824,7824,0.13318962031389284,157.1715548413017
7825,7825,0.10996004793608946,157.19164323021295
7826,7826,0.0996229304987887,157.21173161912415
7827,7827,0.12157483412499115,157.23182000803536
7916,7916,0.122445817068272,159.019686621133
7917,7917,0.08373273012018624,159.0397750100442
7918,7918,0.06167513040743361,159.0598633989554
7919,7919,0.062336708536651575,159.0799517878666
7920,7920,0.098388210102465,159.1000401767778
7921,7921,0.12083166903537765,159.12012856568901
7922,7922,0.1693774395091765,159.14021695460025
8032,8032,0.12739720822148706,161.34993973483327
8033,8033,0.0984048699036932,161.37002812374448
8034,8034,0.08236067977499789,161.39011651265568
8035,8035,0.1039834563766817,161.41020490156689
8036,8036,0.15705931448952345,161.4302932904781
8108,8108,0.07996803834887158,162.87665729208518
8109,8109,0.08140265890412568,162.8967456809964
8110,8110,0.09589690820468906,162.9168340699076
8111,8111,0.07353614454114317,162.9369224588188
8112,8112,0.07840116045007597,162.95701084773
8113,8113,0.15123887897791133,162.9770992366412
8367,8367,0.15993607669774315,168.0795500200884
8368,8368,0.1225,168.0996384089996
8369,8369,0.10995205752330736,168.1197267979108
8370,8370,0.14286073377719194,168.139815186822
8372,8372,0.17717715762331665,168.17999196464444
8624,8624,0.1611661492891553,173.2422659702692
8625,8625,0.0695562644364782,173.2623543591804
8626,8626,0.07689466056274286,173.2824427480916
8627,8627,0.10416666666666667,173.3025311370028
8628,8628,0.1592762319078998,173.322619525914
8734,8734,0.09208333333333334,175.4519887505022
8735,8735,0.06280472168056829,175.47207713941341
8736,8736,0.05480952969575882,175.49216552832462
8737,8737,0.07484346507579379,175.51225391723582
8738,8738,0.08548742728086689,175.53234230614703
8739,8739,0.08877282548708039,175.55243069505826
8740,8740,0.0939496084449684,175.57251908396947
8741,8741,0.16693854986782933,175.59260747288067
8826,8826,0.14745148171778327,177.30012053033346
8827,8827,0.08078837030482308,177.32020891924466
8828,8828,0.0811436830064058,177.34029730815587
8829,8829,0.05430369826219597,177.3603856970671
8830,8830,0.0695474832982167,177.3804740859783
8831,8831,0.0977142082708498,177.4005624748895
8832,8832,0.12559143976176693,177.42065086380072
8833,8833,0.16652217884872533,177.44073925271192
9189,9189,0.15739578123357928,184.59220570510246
9194,9194,0.11995205752330736,184.69264764965848
9195,9195,0.07689466056274286,184.71273603856972
9196,9196,0.08070132945206285,184.73282442748092
9197,9197,0.05823769970886475,184.75291281639213
9198,9198,0.04806271489675605,184.77300120530333
9199,9199,0.052045537611881965,184.79308959421454
9200,9200,0.04998401917443579,184.81317798312574
9201,9201,0.04242721038603643,184.83326637203695
9202,9202,0.08996803834887157,184.85335476094818
9203,9203,0.11231273729830528,184.87344314985938
9204,9204,0.12995205752330738,184.8935315387706
9205,9205,0.14279789996838566,184.9136199276818
9207,9207,0.16461568360018394,184.9537967055042
9224,9224,0.17498114449216892,185.29529931699477
9227,9227,0.17640261101267093,185.35556448372841
9249,9249,0.17413188284059694,185.797509039775
9251,9251,0.17735401827674924,185.83768581759742
9266,9266,0.17109423557411632,186.13901165126558
9270,9270,0.17109423557411632,186.2193652069104
9271,9271,0.16896656780168778,186.2394535958216
9272,9272,0.14739583333949166,186.2595419847328
9273,9273,0.17109423557411632,186.27963037364404
9274,9274,0.17186656599763156,186.29971876255524
9277,9277,0.17232430816552846,186.35998392928886
9279,9279,0.15927293415086358,186.4001607071113
9280,9280,0.17640261101267093,186.4202490960225
9281,9281,0.17109423557411632,186.4403374849337
9284,9284,0.15333333333333332,186.50060265166732
9285,9285,0.1552496751268847,186.52069104057855
9287,9287,0.1500884261604552,186.56086781840096
9288,9288,0.17651234940543875,186.58095620731217
9289,9289,0.1723892151325498,186.60104459622337
9290,9290,0.16920723646395913,186.62113298513458
9837,9837,0.17679547985373995,197.60948171956608
9838,9838,0.122445817068272,197.62957010847728
9839,9839,0.09467174422727116,197.64965849738851
9840,9840,0.08143275231263775,197.66974688629972
9841,9841,0.09960061190839277,197.68983527521092
9842,9842,0.11995205752330736,197.70992366412213
9843,9843,0.1749684269645938,197.73001205303333
9990,9990,0.11995205752330736,200.6830052229811
9991,9991,0.08232871812386948,200.7030936118923
9992,9992,0.059940879821093584,200.72318200080352
9993,9993,0.05013160705901014,200.74327038971475
9994,9994,0.10630840193938146,200.76335877862596
9995,9995,0.11995205752330736,200.78344716753716
9996,9996,0.16679433048736986,200.80353555644837
10084,10084,0.17720105145943096,202.5713137806348
10085,10085,0.1678034174116246,202.591402169546
10104,10104,0.1293521352194768,202.97308155885898
10105,10105,0.09965845094920628,202.99316994777018
10106,10106,0.0907314228605749,203.0132583366814
10176,10176,0.1225,204.41944556046604
10177,10177,0.039230769230769236,204.43953394937725
10178,10178,0.06278075044222198,204.45962233828845
10179,10179,0.06167513040743361,204.4797107271997
10180,10180,0.10203818089022668,204.4997991161109
10181,10181,0.14739583333949166,204.5198875050221
